program_no,order,name,score,oaorder,id,year,month,day,recordnumber,record_onlyoneprogram,oatimes,participation,standscore,oadummy,oaratio,localdummy,perform_order_temp,company,number_members,career,age,yoshimotodummy,topfive,ranking,first,second,last,ordersq,pin,nocombi,pinfirst,nocombifirst,time,vote
19,1,とっかん小僧,209,,201,1999,9,4,1,0,0,0,-.60182482,0,,0,1,東京吉本,2,,27.939726,1,0,7,1,0,0,1,0,0,0,0,0,.25999999
19,3,COLORS,285,4,202,1999,9,4,1,0,0,1,-.032227147,1,,0,3,フリー→サンミュージック→フリー→エマ・クリエイティブ,3,3,33.991779,0,1,5,0,0,0,9,0,1,0,0,0,.41999999
19,5,ﾗｰﾒﾝｽﾞ,481,2,203,1999,9,4,1,0,3,3,1.4367354,1,,0,5,田辺エージェンシー→トゥインクル,2,3,26.093151,0,1,1,0,0,0,25,0,0,0,0,0,.86000001
19,7,ﾍﾓｸﾞﾛﾋﾞﾝ,138,,204,1999,9,4,1,0,0,1,-1.133949,0,,0,7,トーイボックス→プライムワン,2,4,26.761644,0,0,9,0,0,0,49,0,0,0,0,0,.1
19,9,かくれんぼ,160,,205,1999,9,4,1,0,0,0,-.96906549,0,,0,9,オフィスＱ＆Ｋ,2,1,24.950686,0,0,8,0,0,0,81,0,0,0,0,0,.15000001
19,10,ﾏｲﾏｲｶﾌﾞﾘ,385,5,206,1999,9,4,1,0,1,2,.71724349,1,,0,10,ホリプロ,2,3,23.819178,0,1,4,0,0,1,100,0,0,0,0,0,.64999998
19,8,中川家,443,3,207,1999,9,4,1,0,1,1,1.1519365,1,,0,8,吉本興業→東京吉本,2,7,28.205479,1,1,2,0,0,0,64,0,0,0,0,0,.76999998
19,6,Zee-G,132,,208,1999,9,4,1,0,0,0,-1.1789173,0,,0,6,人力舎,2,3,31.769863,0,0,10,0,0,0,36,0,0,0,0,0,.090000004
19,4,ｼｬｶ,421,1,209,1999,9,4,1,0,1,2,.98705292,1,,0,4,ワタナベ,2,1,24.89315,0,1,3,0,0,0,16,0,0,0,0,0,.73000002
19,2,ﾌﾞﾗｯｸﾊﾟｲﾅｰSOS,239,,210,1999,9,4,1,0,0,0,-.37698364,0,,0,2,太田,2,4,19.934246,0,0,6,0,1,0,4,0,0,0,0,0,.31999999
